Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,NBA Draft,Tenure (Years),Draft Round,Overall Pick,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
Kristaps Porzi,,,,0.48,413.00,DAL,2015.00,6.00,1.00,4.00,C,25.00,DAL,43.00,43.00,1327.00,325.00,683.00,97.00,258.00,0.38,228.00,425.00,0.54,0.55,118.00,138.00,0.86,82.00,299.00,381.00,68.00,20.00,58.00,51.00,115.00,865.00,0.06,0.23,0.29,0.05,0.02,0.04,0.04,0.09,0.65
Khyri Thomas,,,,0.49,480.00,HOU,2018.00,3.00,2.00,38.00,SG,24.00,HOU,5.00,2.00,153.00,32.00,66.00,9.00,27.00,0.33,23.00,39.00,0.59,0.55,9.00,9.00,1.00,7.00,11.00,18.00,25.00,9.00,6.00,6.00,8.00,82.00,0.05,0.07,0.12,0.16,0.06,0.04,0.04,0.05,0.54
Khris Middleton,2.00,2.00,2.00,0.48,343.00,MIL,2012.00,9.00,2.00,39.00,SF,29.00,MIL,68.00,68.00,2269.00,511.00,1074.00,151.00,365.00,0.41,360.00,709.00,0.51,0.55,212.00,236.00,0.90,54.00,352.00,406.00,370.00,74.00,9.00,178.00,160.00,1385.00,0.02,0.16,0.18,0.16,0.03,0.00,0.08,0.07,0.61
Kevin Knox,3.00,3.00,2.00,0.39,277.00,NYK,2016.00,5.00,1.00,9.00,SF,21.00,NYK,42.00,0.00,464.00,56.00,143.00,35.00,89.00,0.39,21.00,54.00,0.39,0.51,16.00,20.00,0.80,10.00,51.00,61.00,19.00,12.00,6.00,17.00,37.00,163.00,0.02,0.11,0.13,0.04,0.03,0.01,0.04,0.08,0.35
Jusuf Nurkić,,,,0.51,373.00,POR,2014.00,7.00,1.00,16.00,C,26.00,POR,37.00,37.00,880.00,171.00,333.00,12.00,30.00,0.40,159.00,303.00,0.53,0.53,70.00,113.00,0.62,86.00,246.00,332.00,125.00,38.00,39.00,73.00,103.00,424.00,0.10,0.28,0.38,0.14,0.04,0.04,0.08,0.12,0.48
Justin Jackson,,,,0.40,248.00,TOT,2017.00,4.00,1.00,15.00,SF,25.00,TOT,34.00,3.00,577.00,89.00,221.00,36.00,117.00,0.31,53.00,104.00,0.51,0.48,31.00,37.00,0.84,16.00,61.00,77.00,52.00,15.00,2.00,32.00,32.00,245.00,0.03,0.11,0.13,0.09,0.03,0.00,0.06,0.06,0.42
Juan Hernangómez,1.00,1.00,1.00,0.44,215.00,MIN,2016.00,5.00,1.00,15.00,PF,25.00,MIN,52.00,6.00,900.00,130.00,299.00,55.00,168.00,0.33,75.00,131.00,0.57,0.53,60.00,97.00,0.62,45.00,160.00,205.00,35.00,19.00,7.00,27.00,52.00,375.00,0.05,0.18,0.23,0.04,0.02,0.01,0.03,0.06,0.42
Josh Hall,,,,0.30,197.00,OKC,2020.00,1.00,,,SF,20.00,OKC,21.00,1.00,336.00,30.00,99.00,4.00,37.00,0.11,26.00,62.00,0.42,0.32,22.00,44.00,0.50,6.00,53.00,59.00,28.00,4.00,1.00,25.00,37.00,86.00,0.02,0.16,0.18,0.08,0.01,0.00,0.07,0.11,0.26
Jontay Porter,1.00,1.00,1.00,0.53,408.00,MEM,2019.00,2.00,,,PF,21.00,MEM,11.00,0.00,54.00,8.00,15.00,3.00,8.00,0.38,5.00,7.00,0.71,0.63,3.00,5.00,0.60,4.00,10.00,14.00,1.00,3.00,1.00,7.00,12.00,22.00,0.07,0.19,0.26,0.02,0.06,0.02,0.13,0.22,0.41
Jonas Valančiūnas,3.00,3.00,3.00,0.59,496.00,MEM,2011.00,10.00,1.00,5.00,C,28.00,MEM,62.00,61.00,1755.00,440.00,743.00,21.00,57.00,0.37,419.00,686.00,0.61,0.61,157.00,203.00,0.77,253.00,523.00,776.00,112.00,35.00,57.00,100.00,179.00,1058.00,0.14,0.30,0.44,0.06,0.02,0.03,0.06,0.10,0.60
John Konchar,,,,0.50,278.00,MEM,2019.00,2.00,,,SG,24.00,MEM,43.00,0.00,575.00,69.00,138.00,21.00,56.00,0.38,48.00,82.00,0.59,0.58,25.00,30.00,0.83,35.00,93.00,128.00,47.00,30.00,9.00,18.00,40.00,184.00,0.06,0.16,0.22,0.08,0.05,0.02,0.03,0.07,0.32
Jeremy Lamb,,,,0.44,284.00,IND,2012.00,9.00,1.00,12.00,SG,28.00,IND,36.00,8.00,765.00,120.00,276.00,52.00,128.00,0.41,68.00,148.00,0.46,0.53,71.00,75.00,0.95,25.00,106.00,131.00,53.00,34.00,23.00,22.00,72.00,363.00,0.03,0.14,0.17,0.07,0.04,0.03,0.03,0.09,0.47
Jeff Teague,4.00,4.00,4.00,0.43,474.00,TOT,2009.00,12.00,1.00,19.00,PG,32.00,TOT,55.00,7.00,950.00,123.00,284.00,36.00,82.00,0.44,87.00,202.00,0.43,0.50,89.00,105.00,0.85,15.00,73.00,88.00,132.00,34.00,12.00,64.00,56.00,371.00,0.02,0.08,0.09,0.14,0.04,0.01,0.07,0.06,0.39
Jaylen Hoard,,,,0.50,222.00,OKC,2019.00,2.00,,,SF,21.00,OKC,19.00,0.00,320.00,44.00,88.00,0.00,11.00,0.00,44.00,77.00,0.57,0.50,28.00,41.00,0.68,21.00,44.00,65.00,24.00,13.00,5.00,17.00,19.00,116.00,0.07,0.14,0.20,0.08,0.04,0.02,0.05,0.06,0.36
Jaylen Brown,2.00,2.00,2.00,0.48,74.00,BOS,2016.00,5.00,1.00,3.00,SG,24.00,BOS,58.00,58.00,1999.00,538.00,1111.00,163.00,411.00,0.40,375.00,700.00,0.54,0.56,191.00,250.00,0.76,71.00,276.00,347.00,195.00,72.00,32.00,158.00,168.00,1430.00,0.04,0.14,0.17,0.10,0.04,0.02,0.08,0.08,0.72
Jaxson Hayes,1.00,1.00,1.00,0.63,212.00,NOP,2019.00,2.00,1.00,8.00,C,20.00,NOP,60.00,3.00,964.00,175.00,280.00,6.00,14.00,0.43,169.00,266.00,0.64,0.64,93.00,120.00,0.78,92.00,165.00,257.00,35.00,25.00,38.00,39.00,101.00,449.00,0.10,0.17,0.27,0.04,0.03,0.04,0.04,0.10,0.47
Jarrell Brantley,,,,0.48,63.00,UTA,2019.00,2.00,2.00,50.00,PF,24.00,UTA,28.00,0.00,138.00,25.00,52.00,12.00,28.00,0.43,13.00,24.00,0.54,0.60,2.00,2.00,1.00,9.00,18.00,27.00,15.00,7.00,2.00,8.00,17.00,64.00,0.07,0.13,0.20,0.11,0.05,0.01,0.06,0.12,0.46
JaMychal Green,,,,0.46,187.00,DEN,2012.00,9.00,,,PF,30.00,DEN,58.00,5.00,1120.00,173.00,374.00,79.00,198.00,0.40,94.00,176.00,0.53,0.57,46.00,57.00,0.81,85.00,192.00,277.00,53.00,26.00,22.00,53.00,144.00,471.00,0.08,0.17,0.25,0.05,0.02,0.02,0.05,0.13,0.42
James Harden,14.00,14.00,11.00,0.47,200.00,BRK,2009.00,12.00,1.00,3.00,PG,31.00,BRK,36.00,35.00,1319.00,282.00,599.00,96.00,262.00,0.37,186.00,337.00,0.55,0.55,225.00,263.00,0.86,30.00,277.00,307.00,392.00,46.00,27.00,143.00,85.00,885.00,0.02,0.21,0.23,0.30,0.03,0.02,0.11,0.06,0.67
Jalen Smith,,,,0.44,464.00,PHO,2020.00,1.00,1.00,10.00,PF,20.00,PHO,27.00,1.00,156.00,22.00,50.00,4.00,17.00,0.24,18.00,33.00,0.55,0.48,5.00,7.00,0.71,7.00,30.00,37.00,4.00,1.00,5.00,7.00,16.00,53.00,0.04,0.19,0.24,0.03,0.01,0.03,0.04,0.10,0.34
Jalen Lecque,,,,0.11,289.00,IND,2019.00,2.00,,,PG,20.00,IND,4.00,0.00,12.00,1.00,9.00,0.00,1.00,0.00,1.00,8.00,0.13,0.11,3.00,3.00,1.00,2.00,3.00,5.00,2.00,0.00,0.00,0.00,0.00,5.00,0.17,0.25,0.42,0.17,0.00,0.00,0.00,0.00,0.42
Jalen Brunson,3.00,3.00,2.00,0.52,78.00,DAL,2018.00,3.00,2.00,33.00,PG,24.00,DAL,68.00,12.00,1697.00,328.00,627.00,81.00,200.00,0.41,247.00,427.00,0.58,0.59,120.00,151.00,0.80,27.00,204.00,231.00,239.00,35.00,1.00,80.00,109.00,857.00,0.02,0.12,0.14,0.14,0.02,0.00,0.05,0.06,0.51
Jahmi'us Ramsey,,,,0.40,419.00,SAC,2020.00,1.00,2.00,43.00,SG,19.00,SAC,13.00,0.00,94.00,15.00,38.00,5.00,19.00,0.26,10.00,19.00,0.53,0.46,5.00,5.00,1.00,2.00,8.00,10.00,6.00,4.00,1.00,3.00,8.00,40.00,0.02,0.09,0.11,0.06,0.04,0.01,0.03,0.09,0.43
Jae Crowder,,,,0.40,113.00,PHO,2012.00,9.00,2.00,34.00,PF,30.00,PHO,60.00,42.00,1648.00,199.00,492.00,148.00,380.00,0.39,51.00,112.00,0.46,0.56,57.00,75.00,0.76,32.00,250.00,282.00,127.00,48.00,27.00,55.00,125.00,603.00,0.02,0.15,0.17,0.08,0.03,0.02,0.03,0.08,0.37
Jaden McDaniels,,,,0.45,330.00,MIN,2020.00,1.00,1.00,28.00,PF,20.00,MIN,63.00,27.00,1511.00,164.00,367.00,72.00,198.00,0.36,92.00,169.00,0.54,0.55,27.00,45.00,0.60,52.00,180.00,232.00,71.00,35.00,60.00,47.00,172.00,427.00,0.03,0.12,0.15,0.05,0.02,0.04,0.03,0.11,0.28
Isaiah Joe,,,,0.36,255.00,PHI,2020.00,1.00,2.00,49.00,SG,21.00,PHI,41.00,1.00,383.00,48.00,133.00,39.00,106.00,0.37,9.00,27.00,0.33,0.51,18.00,24.00,0.75,6.00,30.00,36.00,20.00,12.00,4.00,11.00,34.00,153.00,0.02,0.08,0.09,0.05,0.03,0.01,0.03,0.09,0.40
Iman Shumpert,2.00,2.00,2.00,0.25,454.00,BRK,2011.00,10.00,1.00,17.00,SG,30.00,BRK,2.00,0.00,11.00,1.00,4.00,0.00,3.00,0.00,1.00,1.00,1.00,0.25,0.00,0.00,,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.18
Ignas Brazdeikis,,,,0.00,64.00,PHI,2019.00,2.00,2.00,47.00,SF,22.00,PHI,1.00,0.00,8.00,0.00,3.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00
Hamidou Diallo,,,,0.48,126.00,OKC,2018.00,3.00,2.00,45.00,SG,22.00,OKC,32.00,5.00,761.00,143.00,297.00,12.00,41.00,0.29,131.00,256.00,0.51,0.50,83.00,132.00,0.63,37.00,128.00,165.00,77.00,31.00,12.00,49.00,83.00,381.00,0.05,0.17,0.22,0.10,0.04,0.02,0.06,0.11,0.50
Goran Dragić,,,,0.43,136.00,MIA,2008.00,13.00,2.00,45.00,PG,34.00,MIA,50.00,11.00,1337.00,240.00,555.00,91.00,244.00,0.37,149.00,311.00,0.48,0.51,101.00,122.00,0.83,25.00,144.00,169.00,219.00,33.00,8.00,118.00,113.00,672.00,0.02,0.11,0.13,0.16,0.02,0.01,0.09,0.08,0.50
Giannis Antetokounmpo,10.00,10.00,9.00,0.57,12.00,MIL,2013.00,8.00,1.00,15.00,PF,26.00,MIL,61.00,61.00,2013.00,626.00,1100.00,67.00,221.00,0.30,559.00,879.00,0.64,0.60,398.00,581.00,0.69,97.00,574.00,671.00,357.00,72.00,73.00,207.00,168.00,1717.00,0.05,0.29,0.33,0.18,0.04,0.04,0.10,0.08,0.85
Gary Payton II,,,,0.77,399.00,GSW,2016.00,5.00,,,PG,28.00,GSW,10.00,0.00,40.00,10.00,13.00,2.00,4.00,0.50,8.00,9.00,0.89,0.85,3.00,4.00,0.75,2.00,9.00,11.00,1.00,6.00,1.00,1.00,8.00,25.00,0.05,0.23,0.28,0.03,0.15,0.03,0.03,0.20,0.63
