Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,Twitter Followers,Twitter Followers (number),Twitter Posts (Past 30 days),Twitter Interactions (Past 30 days),Twitter Interactions (Past 30 days) Number,Instagram Followers,Instagram Presence (number),Instagram Posts (Past 30 Days),Instagram Interactions (Past 30 Days),Instagram Interactions (Past 30 Days) Number,Facebook Followers,Facebook Followers (number),NBA Draft,Tenure (Years),Draft Round,Overall Pick,Notes,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
Jusuf Nurkić,,,,0.514,373,POR,,,,,,,,,,,,,2014,7,1,16,,C,26,POR,37,37,880,171,333,12,30,0.4,159,303,0.525,0.532,70,113,0.619,86,246,332,125,38,39,73,103,424,0.097727273,0.279545455,0.377272727,0.142045455,0.043181818,0.044318182,0.082954545,0.117045455,0.481818182
Justin Jackson,,,,0.403,248,TOT,96.45k,96450,2,2.33k,2330,,,,,,,,2017,4,1,15,,SF,25,TOT,34,3,577,89,221,36,117,0.308,53,104,0.51,0.484,31,37,0.838,16,61,77,52,15,2,32,32,245,0.027729636,0.105719237,0.133448873,0.090121317,0.025996534,0.003466205,0.055459272,0.055459272,0.424610052
Juan Hernangómez,1,1,1,0.435,215,MIN,,,,,,,,,,,,,2016,5,1,15,,PF,25,MIN,52,6,900,130,299,55,168,0.327,75,131,0.573,0.527,60,97,0.619,45,160,205,35,19,7,27,52,375,0.05,0.177777778,0.227777778,0.038888889,0.021111111,0.007777778,0.03,0.057777778,0.416666667
Josh Hall,,,,0.303,197,OKC,4.74k,4740,2,185,185,,,,,,,,2020,1,,,,SF,20,OKC,21,1,336,30,99,4,37,0.108,26,62,0.419,0.323,22,44,0.5,6,53,59,28,4,1,25,37,86,0.017857143,0.157738095,0.175595238,0.083333333,0.011904762,0.00297619,0.074404762,0.110119048,0.255952381
Jontay Porter,1,1,1,0.533,408,MEM,124.05k,124050,0,0,0,588.03k,588030,3,24.68k,24680,,,2019,2,,,,PF,21,MEM,11,0,54,8,15,3,8,0.375,5,7,0.714,0.633,3,5,0.6,4,10,14,1,3,1,7,12,22,0.074074074,0.185185185,0.259259259,0.018518519,0.055555556,0.018518519,0.12962963,0.222222222,0.407407407
Jonas Valančiūnas,3,3,3,0.592,496,MEM,178.95k,178950,6,6.24k,6240,,,,,,,,2011,10,1,5,,C,28,MEM,62,61,1755,440,743,21,57,0.368,419,686,0.611,0.606,157,203,0.773,253,523,776,112,35,57,100,179,1058,0.144159544,0.298005698,0.442165242,0.063817664,0.01994302,0.032478632,0.056980057,0.101994302,0.602849003
John Konchar,,,,0.5,278,MEM,,,,,,6.65k,6650,,,,,,2019,2,,,,SG,24,MEM,43,0,575,69,138,21,56,0.375,48,82,0.585,0.576,25,30,0.833,35,93,128,47,30,9,18,40,184,0.060869565,0.16173913,0.222608696,0.08173913,0.052173913,0.015652174,0.031304348,0.069565217,0.32
Jeremy Lamb,,,,0.435,284,IND,48.47k,48470,0,0,0,,,,,,,,2012,9,1,12,,SG,28,IND,36,8,765,120,276,52,128,0.406,68,148,0.459,0.529,71,75,0.947,25,106,131,53,34,23,22,72,363,0.032679739,0.138562092,0.17124183,0.069281046,0.044444444,0.030065359,0.02875817,0.094117647,0.474509804
Jeff Teague,4,4,4,0.433,474,TOT,,,,,,,,,,,,,2009,12,1,19,,PG,32,TOT,55,7,950,123,284,36,82,0.439,87,202,0.431,0.496,89,105,0.848,15,73,88,132,34,12,64,56,371,0.015789474,0.076842105,0.092631579,0.138947368,0.035789474,0.012631579,0.067368421,0.058947368,0.390526316
Jaylen Hoard,,,,0.5,222,OKC,,,,,,,,,,,,,2019,2,,,,SF,21,OKC,19,0,320,44,88,0,11,0,44,77,0.571,0.5,28,41,0.683,21,44,65,24,13,5,17,19,116,0.065625,0.1375,0.203125,0.075,0.040625,0.015625,0.053125,0.059375,0.3625
Jaylen Brown,2,2,2,0.484,74,BOS,450.47k,450470,3,10,10,1.43m,1430000,1,86.99k,86990,295.25k,295250,2016,5,1,3,,SG,24,BOS,58,58,1999,538,1111,163,411,0.397,375,700,0.536,0.558,191,250,0.764,71,276,347,195,72,32,158,168,1430,0.035517759,0.138069035,0.173586793,0.097548774,0.036018009,0.016008004,0.07903952,0.084042021,0.715357679
Jaxson Hayes,1,1,1,0.625,212,NOP,16.19k,16190,,,,,,,,,,,2019,2,1,8,,C,20,NOP,60,3,964,175,280,6,14,0.429,169,266,0.635,0.636,93,120,0.775,92,165,257,35,25,38,39,101,449,0.095435685,0.171161826,0.26659751,0.036307054,0.02593361,0.039419087,0.040456432,0.104771784,0.465767635
Jarrell Brantley,,,,0.481,63,UTA,4.57k,4570,26,13.99k,13990,11.03k,11030,2,3.16k,3160,,,2019,2,2,50,,PF,24,UTA,28,0,138,25,52,12,28,0.429,13,24,0.542,0.596,2,2,1,9,18,27,15,7,2,8,17,64,0.065217391,0.130434783,0.195652174,0.108695652,0.050724638,0.014492754,0.057971014,0.123188406,0.463768116
JaMychal Green,,,,0.463,187,DEN,17.74k,17740,1,100,100,,,,,,,,2012,9,,,,PF,30,DEN,58,5,1120,173,374,79,198,0.399,94,176,0.534,0.568,46,57,0.807,85,192,277,53,26,22,53,144,471,0.075892857,0.171428571,0.247321429,0.047321429,0.023214286,0.019642857,0.047321429,0.128571429,0.420535714
James Harden,14,14,11,0.471,200,BRK,7.08m,7080000,30,62.28k,62280,,,0,0,0,3.62m,3620000,2009,12,1,3,,PG,31,BRK,36,35,1319,282,599,96,262,0.366,186,337,0.552,0.551,225,263,0.856,30,277,307,392,46,27,143,85,885,0.022744503,0.210007582,0.232752085,0.297194845,0.034874905,0.020470053,0.108415466,0.06444276,0.670962851
Jalen Smith,,,,0.44,464,PHO,11.34k,11340,46,476.65k,476650,33.29K,33290,0,0,0,,,2020,1,1,10,,PF,20,PHO,27,1,156,22,50,4,17,0.235,18,33,0.545,0.48,5,7,0.714,7,30,37,4,1,5,7,16,53,0.044871795,0.192307692,0.237179487,0.025641026,0.006410256,0.032051282,0.044871795,0.102564103,0.33974359
Jalen Lecque,,,,0.111,289,IND,,,,,,,,,,,,,2019,2,,,,PG,20,IND,4,0,12,1,9,0,1,0,1,8,0.125,0.111,3,3,1,2,3,5,2,0,0,0,0,5,0.166666667,0.25,0.416666667,0.166666667,0,0,0,0,0.416666667
Jalen Brunson,3,3,2,0.523,78,DAL,42.39k,42390,7,15.77k,15770,117.98k,117980,2,7.89k,7890,,,2018,3,2,33,,PG,24,DAL,68,12,1697,328,627,81,200,0.405,247,427,0.578,0.588,120,151,0.795,27,204,231,239,35,1,80,109,857,0.01591043,0.120212139,0.136122569,0.140836771,0.020624632,0.000589275,0.047142015,0.064230996,0.505008839
Jahmi'us Ramsey,,,,0.395,419,SAC,10.59k,10590,5,303,303,66.10k,66100,0,0,0,,,2020,1,2,43,,SG,19,SAC,13,0,94,15,38,5,19,0.263,10,19,0.526,0.461,5,5,1,2,8,10,6,4,1,3,8,40,0.021276596,0.085106383,0.106382979,0.063829787,0.042553191,0.010638298,0.031914894,0.085106383,0.425531915
Jae Crowder,,,,0.404,113,PHO,,,,,,,,,,,,,2012,9,2,34,,PF,30,PHO,60,42,1648,199,492,148,380,0.389,51,112,0.455,0.555,57,75,0.76,32,250,282,127,48,27,55,125,603,0.019417476,0.151699029,0.171116505,0.077063107,0.029126214,0.016383495,0.033373786,0.075849515,0.365898058
Jaden McDaniels,,,,0.447,330,MIN,8.86k,8860,0,0,0,,,,,,,,2020,1,1,28,,PF,20,MIN,63,27,1511,164,367,72,198,0.364,92,169,0.544,0.545,27,45,0.6,52,180,232,71,35,60,47,172,427,0.034414295,0.119126406,0.153540702,0.046988749,0.023163468,0.039708802,0.031105228,0.113831899,0.282594308
Isaiah Joe,,,,0.361,255,PHI,17.45k,17450,0,0,0,33.13k,33130,1,5.36k,5360,,,2020,1,2,49,,SG,21,PHI,41,1,383,48,133,39,106,0.368,9,27,0.333,0.508,18,24,0.75,6,30,36,20,12,4,11,34,153,0.015665796,0.078328982,0.093994778,0.052219321,0.031331593,0.010443864,0.028720627,0.088772846,0.399477807
Iman Shumpert,2,2,2,0.25,454,BRK,,,,,,,,,,,,,2011,10,1,17,,SG,30,BRK,2,0,11,1,4,0,3,0,1,1,1,0.25,0,0,,1,0,1,0,1,0,1,0,2,0.090909091,0,0.090909091,0,0.090909091,0,0.090909091,0,0.181818182
